Iteration,ParticleLocations,FunctionCost
0,"[[-15.002406490483231, 20], [-2.8840680481269723, 17.701407663404204], [-4.550015710259852, 20], [-4.655517684135652, 20], [-3.036103381607963, 13.08942420319741], [3.8281360801686475, 20], [-3.8605391685381516, 18.98637718717989], [-13.022836934811505, 20], [-2.0306107070118014, 17.858729591976736], [-8.099306167632683, 20], [-1.31528500330713, -6.234461126602172], [-3.602151226414031, 13.70888120776723], [3.3135291854028153, 18.15942012747226], [3.7525060019899312, 14.459257344626577], [-1.314064570719676, 11.695419521105908], [-3.779048728092068, 18.318491041551425], [-2.521428817043209, 20], [1.066132749820845, 11.000042402985674], [-2.175669390109549, 16.94993667466859], [-8.996113778750065, 17.260855183322015], [2.0787555055841462, 3.8850455031043936], [-4.258416933619865, -17.711430883710708], [-7.8130687499074485, -4.529686542399148], [-6.447514649533099, 20], [-14.472946132480303, 10.881917370765574], [-0.996322187752714, 20], [-15.699784649013566, 20], [-2.90063717780855, 20], [-3.0103220917928786, 6.52461668019717], [-5.882212047273823, 19.754428464231527]]",288.33355196011365
1,"[[-8.186606825769456, 17.807750351209773], [-1.1398041440159696, 12.816339047170533], [1.437781796249329, 20], [3.5271804863701126, 20], [9.802758811899302, 7.6718917706506735], [18.21123361224455, 17.53602756957091], [0.6509468290931251, 11.349058903558007], [-20, 16.8193522557331], [-9.073383536511134, -7.707719366373869], [-20, 20], [8.125730346992375, 14.56950904947517], [5.861365703647435, 12.564279860000427], [0.21608077460077624, -3.022942669120493], [-0.5184052218474626, 16.82164336541063], [15.159382365346058, 4.871375115693121], [1.547878653088394, -2.141833350458903], [3.2398497444247876, 20], [-3.459493270827963, 18.907858571822466], [-3.7234117185647486, 11.182523102227563], [-7.640086209844794, 9.11411734764521], [-0.2856382440370213, 20], [-3.4890712123371674, -8.717879594275518], [7.8540755334958865, 3.411831648013468], [10.423340576492398, 20], [4.7589101247073415, 7.130901453892507], [8.04798164869176, 20], [-20, 20], [4.179843795621842, 20], [3.7686891800214166, 12.560638194701653], [12.740746402067442, 20]]",23.3464319976499
2,"[[14.961668863956707, -8.904898930419858], [5.285699415871595, -4.28030852646398], [6.093951267082513, 16.462304637725936], [7.103780497743665, 6.19648322625056], [12.013557595613051, -2.8635843124499134], [2.568531858237014, -0.43082424485339743], [5.877702076191459, -2.4802316342143094], [-20, -6.268651050839239], [-13.156888148529205, -11.226171941153416], [7.717024821522035, 13.993291004126073], [9.989664529546975, 20], [6.755950691964112, 3.446907922848002], [1.4874231163732263, -12.403787120985932], [0.537752335837749, 10.333448796043562], [19.15255593293158, -1.6645148173786302], [5.926687580215652, -7.085039220989097], [6.653509162484013, 14.27213230066451], [1.975163376581957, 12.01012902274131], [3.776372706621424, -6.149764750900239], [0.36551096108003023, 2.986730297366001], [-0.807988322113026, 20], [-2.5373986499474257, 20], [15.419981967598373, 9.497296750693112], [17.22710360377178, 20], [18.190089040979046, -1.4453916922370702], [12.14183253878881, 20], [-2.4849633754760774, 7.478212475025387], [7.822186560594353, 20], [5.18131220737933, 13.341164332605992], [15.06052857819084, 10.489238915308949]]",23.3464319976499
3,"[[20, -20], [7.146020727084952, -9.454977659262326], [4.598730740590487, -7.772132133542602], [0.33261518909285837, -4.4354827112747675], [3.04753994022038, -5.234119898575698], [-9.109188601118273, -5.9556195412951904], [8.615370437655422, -5.379168506608466], [2.416878797448792, -9.909768676696403], [6.027300200604493, 4.333138880811179], [18.762401669601054, -1.3265333627116664], [8.405789927418887, 20], [0.21936603765265428, -2.7076259128792834], [3.327326690902715, 12.134330123838467], [2.491095131654829, -2.2001796726936558], [8.42542978760429, 4.146316639524357], [7.343755362048796, -7.504189720302035], [6.049794518722156, 5.1698533879847695], [5.912559918961137, 4.062425700952161], [6.054927363506837, -15.667749670428224], [8.838546893171715, -1.065226794924202], [2.781391253419595, -0.30612965120619506], [-0.5119919941317601, 16.687968309109028], [18.568461159793507, 12.144357365186163], [11.041711684243563, 9.275720291070058], [17.318899363191004, -6.400214462728773], [-1.4448930895066265, 20], [16.697474087374836, -6.347734153107972], [5.25970536038467, 17.280996975737015], [2.4743588876666465, -4.72403300201271], [-1.5032173910062987, -9.119134618994543]]",23.3464319976499
4,"[[2.3257261161482425, 9.72481964172269], [0.5202102133160675, 8.11630564407503], [-0.4702523601355306, -18.686087473524104], [-4.3905336155897725, -10.565625338371508], [-3.8304660244956565, -6.808924199118719], [-17.153419220760426, -9.675646533826013], [6.505115573345293, -1.33878940681113], [17.756356496904175, 14.316402656456658], [15.222512990993843, 14.418391857858888], [11.460461090224989, -3.75687224334904], [-1.715893945072711, 5.997552377427665], [-0.7493445602742912, -1.1312647169865349], [3.732276399047953, 20], [3.691292519552385, -9.1507591629162], [-4.324614087702862, 7.874018994855671], [-0.7880514239706677, 6.977466112930584], [-0.15110290174196894, -1.824155147266099], [2.1894660815935367, -1.5797404633924765], [4.27450849349839, 6.19160472195866], [12.30408446534853, -2.367329108617516], [3.962679209452286, -9.493976282534035], [3.793321931215017, -4.632015443758846], [18.079052836779177, 2.907780197239843], [-9.80245706378727, -1.4023302003877376], [-13.749297683343567, 5.682373176427081], [-8.818410676067593, -2.8070144203200016], [7.239141519544241, -14.640402761452004], [-2.3921315743085287, -3.4794577232321586], [-0.08051586006509037, -8.967277291044494], [-10.586584141264645, -18.068663170631982]]",23.3464319976499
5,"[[-10.226222887808179, 20], [-1.3637573408921213, 14.202635359181404], [0.5140812482480097, -11.320007900674344], [-6.9144532573748005, -3.9075440984403045], [0.04059453693069237, -5.123749257023067], [-8.377802146737235, 9.823658217344265], [1.2667681682800005, 10.010454908079971], [5.860967070133203, 20], [-1.4136741428692883, 14.777124034167953], [-7.197521607667181, 5.583165649852054], [-7.577621716197992, -7.870557237917259], [3.426855501447372, 2.371046061439457], [3.8844003287139306, 10.806191076629872], [4.171128082320651, -13.30672024781325], [-8.755528670766157, 8.663572529059584], [-2.1402373864275654, 11.934151396990085], [-2.2546083503110643, -1.496614901079739], [-0.4342701578849173, 2.870771941545245], [0.7377875930959288, 18.187629660178377], [9.400733973351155, 1.5948750241305452], [1.2762614585372813, -2.297438349350971], [6.626651923179093, -13.537650782913083], [10.97068309056052, -2.19694758104463], [-10.554666959029031, -2.3797367157362936], [-20, 13.718063551998691], [0.16643747785658825, -17.21324287942167], [-3.798501646473632, 0.6380404388883232], [-6.4647277631406475, -12.76254888023415], [2.020479285380544, -2.653260024933675], [5.7500259060112455, -6.549000557880007]]",23.3464319976499
6,"[[-13.716346947250994, 8.833908452864712], [-2.636322398054965, 7.150197699806278], [4.135208595029808, 20], [1.6561002471275241, 4.676254156827806], [5.57195529104972, 7.367001928289445], [3.681712039931309, 20], [-1.3096147547607044, 14.849526084469279], [-3.214352982170297, 1.119289708118174], [-11.856595830963535, 4.537732085650553], [-7.2343079854491865, 9.442095526143966], [5.427216189869153, -12.489758048224004], [4.0791291338155755, 5.495297038269441], [1.7731073378630735, 3.41121394979805], [0.6509583787619269, 4.7042637909273], [-3.126642462265602, 6.328036130450014], [-0.4311596251787666, 12.030793994615411], [-2.266243772470533, 0.6848517262853133], [-0.5278400813332882, 6.234755276285311], [-0.55206778950492, 20], [7.072771842578512, 5.081934576989346], [-0.14347226179896477, 6.151294223654341], [7.1498448752177035, 1.3378882711196418], [-1.235134690950602, 5.1619357957156256], [-4.166685437325133, -2.6147608357519223], [5.860717241201343, 10.673821555453292], [10.25791280856276, 1.1817898450730695], [-3.8695337429147703, 11.827711442054733], [-7.731814538922334, -0.2123923134044574], [3.4913650515072954, 1.8984082035620977], [16.929945112387337, 20]]",23.3464319976499
7,"[[-9.495598673920183, -8.166176985811305], [2.6902589010122337, 1.6069270881914894], [5.237165975699943, 18.15085198749822], [7.774705095737191, 10.398666361832422], [7.713071109887805, 10.426225838534261], [10.840029583142286, 20], [-1.1055619276133581, 6.56911823531812], [-1.8379949681847512, -8.450289053054433], [4.264785895870055, -3.331698931311302], [1.200634990203536, 3.8134350014435086], [7.279869346551566, -7.790216944777077], [2.8407237574097244, 6.5442462935564], [0.29520224426747355, -1.7652700389842249], [-1.5797978276331395, 15.875420480665175], [4.420286603255866, 3.7162532461911537], [4.793377698619009, 11.54615497437915], [-1.745084182273476, 2.565211644766599], [0.656635249383065, 7.745113884045749], [-0.26712579818399684, 12.418660024372986], [-3.5453060778379646, 5.775627803197798], [-0.016837271272686305, 12.058800101849386], [4.475409899958261, 12.795460135549693], [-4.377953546954484, 7.634219098105378], [9.000564823178241, 4.444069831866903], [15.961776530542505, -4.749977660349781], [7.056659284006004, 15.913947714761536], [0.22840579219075519, 6.289081433628425], [10.13887409867891, 13.440051130272415], [1.5571318216821617, 7.477068955235027], [13.333101303797006, 20]]",10.289069485178333
8,"[[10.801121948793623, -10.80517729421998], [4.630411880286523, 0.5873373692902994], [-0.8438883739384444, 15.787616871714723], [6.732282414088605, 2.8425093684419513], [8.874600622540187, -0.8706302965503987], [-1.0534273246125387, -2.547522245161936], [0.9372193005613891, -3.3021832011480132], [1.2667066900751318, 6.714195158389616], [14.196273957866332, -0.15152276831141354], [7.267595694311954, -0.8284731536726113], [2.886882007046796, -4.323435868836725], [1.7359716900973683, 1.732552728704337], [1.7704883269115286, -0.36213641968581856], [-2.330015275519016, 12.23380413396688], [4.728969098227102, 1.8470597887053781], [3.7638479679715924, 2.033613969018221], [3.9076078027994594, 4.756675975054419], [3.252307738336729, 6.959618180758605], [0.18231226741428785, 5.942642055969626], [-4.0665959318938905, 5.67008402662497], [2.7859584518983915, 8.01621521483045], [-1.5479450210185686, 16.14609722119476], [-2.0893759215193075, 4.992902715690976], [4.468684773406361, 7.6519378464690435], [4.1029700671825005, -11.939927107530414], [3.2932589945940327, 6.129035381005741], [5.552869987361207, -0.5114426107982801], [6.822354452956898, 20], [0.42088185239604115, 3.477021882316415], [6.384450541957962, 15.948608904220544]]",10.289069485178333
9,"[[13.544506562381313, 7.383200090906346], [5.759658504375589, 0.3399126324804093], [0.1325340211218684, -5.073944886537118], [0.4582116130925682, -1.5465952509354883], [-0.26204375226527965, -6.4415204283800485], [-8.779524152948884, -15.763165864361655], [3.2103299298871946, -0.7852909184973864], [4.4227280956478285, 16.899992586258424], [3.0695026199029947, 6.920966898832277], [5.169728429778929, 0.39903712153029947], [-1.6644463504966156, 4.956441780501118], [0.9906468206058588, -0.8432099973988709], [2.8035806609443785, 3.864067764288626], [3.261976739697584, 0.2327439346405651], [0.6129648595261266, 3.4247165258199157], [2.446597734066512, -3.783473952976564], [4.0653279416304775, 4.367211388746559], [2.37506385759966, 2.8712599259726135], [3.3687321183730807, -0.7728797675280559], [2.131599895106768, 1.1437468038617347], [3.118344187235368, 1.908553595923669], [-1.0625249836176733, 3.7091618830981066], [6.389192338459543, 0.17108995052546128], [0.0049007778144787295, 6.261829283440951], [-7.953513179098865, 6.051051125791728], [-1.4457030147321612, -1.5816335471440066], [5.004215319864457, -3.6084333953571512], [-5.5914522134220395, 7.734078841986214], [2.2407114631623184, 0.5966517869911057], [-4.06413639318693, -7.5700095360933854]]",10.289069485178333
