Iteration,ParticleLocations,FunctionCost
0,"[[-1.076807682849493, 0.9267961392320911], [-0.15619518466580917, 1.8705948810719715], [-12.88943927384127, 5.669819197352964], [-1.8188232169918788, 1.820917821564377], [-8.038912012469794, 6.102055726028237], [-7.366064287610019, 10.358412981389751], [-12.153119040580982, -15.261264200324973], [-1.652393838689284, -5.514940795950494], [-4.265424455679366, 0.20064750422506616], [-4.505961871671364, 11.720736372573963], [-0.4690474479980331, 1.5564635702742713], [-12.315515337472311, 3.694209912541659], [-0.9389401153331038, 0.30329434710094116], [-2.245079502766955, 4.412143154323969], [-0.11125227600652998, -14.726726585345595], [4.340647252335126, -1.4975767855875755], [2.466402573449802, 11.805845294992778], [-18.15027215876911, -1.805305709481198], [-1.3226333536472485, 1.7465618725275158], [3.276520304499611, -5.2548436287285085], [-13.160031966182732, 0.3184492997256112], [-0.9100625742631188, 3.063420781295612], [-1.6921019665910517, 6.8947838725378645], [1.6843105621116656, 9.047682400933628], [0.21112393833518972, -11.514112715056601]]",2.307481669530841
1,"[[-11.358112686807406, -1.5349234583143305], [0.09571317218090225, 8.757958839371662], [-1.8644890751198169, 0.78398960817937], [-8.654547837678459, 7.533067021575045], [-10.461569206531456, 14.361224708096548], [-18.721266554661135, -0.9377252138572061], [-19.413488592436423, -6.997387831477408], [-0.44831295370491886, 10.126721666722554], [-11.15026105173143, -0.4027649237239723], [-6.48887892855965, 15.307502786700132], [11.753015575909311, 11.915355115792998], [-1.2221387845755558, 16.786789880872277], [-1.3000795482534013, 0.5048543092977614], [-3.8672659822617597, -8.033060545649809], [7.676634721213045, 12.83150648075603], [3.8308825400239925, 2.5989800477415836], [12.272288970371338, 20], [-17.15590389433981, 14.016621869761293], [-1.0727972625238504, 5.93731059643327], [7.650297506597212, -15.158440593535188], [-17.348764290446493, 3.1789819299513655], [-12.659763677765108, 11.643258639752183], [-5.2625503036807775, -5.57395602101607], [15.5442590371478, 20], [-0.6431667686448983, 14.967343148841405]]",1.7501413737775986
2,"[[0.8140843567578671, 1.893944899419616], [-1.3385648083668573, -0.4394913257093034], [6.70878350366533, -1.8655125941727047], [-1.2672465981664427, 1.8962816766981323], [2.503367217154997, 14.692807755723036], [-1.739897746803365, -8.835131004267115], [-16.097650462447483, 14.460850508415668], [0.18089864703733194, 19.60164745380483], [2.8378397107078825, 0.01765146432055953], [-3.6183783993547998, 3.780321354832857], [-3.6296903464088146, 4.837412320319491], [6.54308269814386, 20], [-1.5947308902301685, 1.0040695023673116], [-2.0141924569613865, -1.7613426316242187], [11.201501365032907, 20], [-2.3765659664400793, 3.9471151844595074], [-7.77319556371695, 18.68045877928491], [-4.143227067947649, 20], [-1.1083113317375828, 1.4986451266299676], [-4.141568393486821, 5.3874837331825685], [-4.068702390139052, 3.454094213319024], [-1.5041056834595619, 5.416218119202506], [0.0639225093113378, -7.377618843741188], [-7.2434730085937, 0.01870526526796823], [-1.6167827699409942, 20]]",1.7501413737775986
3,"[[6.553090738850122, 4.1124790722944224], [-2.331500484406014, -2.7893475360825866], [-2.933796907160856, 1.8187146529753888], [3.8422009452659216, -2.0753154359759995], [11.573542825078926, 14.311755609141182], [10.718356405518389, -11.053456881044191], [-5.368924810232224, 20], [0.11406241581536841, 20], [6.337893912026653, 0.356606736047499], [-1.147368651522684, -4.77575445658054], [-10.226289836189162, -5.023480739373766], [8.849049686903541, 10.742252851068507], [-1.384659406998075, 1.549190292465521], [-0.3738549499208239, 8.536378331449226], [6.857186444755237, 20], [-6.649828458370145, 2.9480710706046405], [-20, 9.609081540867086], [10.03079959737181, -6.658788512530609], [-1.2725104370535159, -1.1716387042714107], [-10.101943093472123, 19.023446654596313], [7.515846315603179, 0.5836262776144521], [6.380976566832143, -0.08933014721443833], [2.937983135318221, 0.6579558562529817], [-14.560371689113095, -12.220783382953432], [-2.065901844858429, 3.808107126207222]]",1.7501413737775986
4,"[[8.057862306927937, 2.0313122321536605], [-3.023522504917238, -3.031335204397782], [-7.30485161891661, 4.340056324446077], [0.6892488336962197, -4.668395253413161], [15.533137762603076, 12.367368611578623], [10.762210913983568, 5.611028252248321], [5.809620401036355, 1.5736440459084662], [-0.6416907598351806, -13.762489103816229], [1.4936927222447185, 0.8142790427616546], [0.47307793409248733, -6.819130307951916], [-9.526090940420197, 0.12813755521922587], [-1.891981093797698, -9.92936210831816], [-1.191039476959693, 2.2421738394097988], [-0.7823542135089334, 13.308719669267976], [1.512603605375248, -5.180823143740806], [-0.4684934729437895, 0.662845214415166], [-10.088421186605043, -0.513848208032087], [12.334466082673172, -17.73918894815112], [-1.4042957670940945, -2.5174060907491764], [1.0027618346251828, 17.803163742327097], [-0.8940433064431357, -0.16018821830143315], [10.757384460241424, -3.493100052849835], [2.02771203908022, 6.740645450154566], [-0.7799332337973723, -13.911771997173023], [-1.4989000146781586, -9.628603949703267]]",1.7501413737775986
5,"[[2.2309702902731408, 0.5536861799866182], [-0.3956845071611186, 1.977608445185394], [-1.6821532064726545, 1.4691453623781436], [-3.983729796392897, -2.1139799667035604], [4.867645284325707, 3.9645741411832134], [-6.879276593856323, 11.603857379390618], [8.145824888705022, -11.209566637504228], [-1.567384083519362, -19.013527073492106], [-4.761171249378614, 1.9552885045157635], [-1.4890365145398605, -3.2120053125615584], [-6.1693530706738455, 5.2934484901978935], [-9.408518733648584, -10.563416344055701], [-1.308937031768988, 2.466013880340286], [-1.7319576927833886, 1.9777457034569146], [-3.3111405725446854, -15.96352068148647], [2.52209060850444, 0.2542015074996382], [2.5849479450383708, -3.3616641734823043], [-3.862452773256445, -20], [-1.341873411783719, 1.926252249297277], [6.834441102635552, -12.808285807423779], [-6.934781881167256, 1.020750966396991], [5.886129476608554, 2.061414819757683], [0.7856119832043564, 6.98881856499313], [7.890236371325823, 9.037632789317222], [-1.0028689545288474, -18.71171172529776]]",1.7501413737775986
6,"[[-7.066293557514052, 0.18303703686927286], [0.7055563803276956, 5.360646173318157], [2.276991631512734, -0.4208316443565967], [-3.9051755592783066, 4.567896955364244], [-3.3328164429048748, -5.5672134135533575], [-16.866976223964045, 5.149741481393908], [6.63237127360158, -3.477096035153915], [-1.7778639599053132, -20], [-2.3450329968114607, 2.59994790493029], [-2.6568314381441756, 9.173761844789789], [0.4449207890065159, 5.526536690667319], [-1.5213809973411383, 9.784200403861655], [-1.4153150651287547, 1.3038273249596437], [-2.1509209627384664, -6.298704669287735], [-5.288415335412287, 11.296604618400623], [2.2990566388641946, 0.7533157766560086], [10.309429030068973, -3.7930295017972293], [-13.135526435383412, -3.8660575614559427], [-1.2974444850048836, 4.85819639084364], [3.1865489826314475, -20], [-6.525867464480834, 3.0872858246658974], [-1.920530403342715, 5.766418813418522], [-2.4540848125065047, 3.7939652136559596], [2.5299771181854185, 20], [-1.262053010756754, 9.775413313365288]]",1.7501413737775986
7,"[[-3.533069867188278, 2.5925709355728666], [-0.3025461219652903, 4.82754886954508], [3.1903484017840613, -0.0020215422279212802], [0.4266215851943689, 6.911002877334909], [-6.312356096751046, 0.3934119296103704], [5.398371408237594, -0.15920673957201714], [3.2174418711735915, 11.165333303678471], [-1.4666810627922575, -2.848275891158444], [0.1868871529095566, 2.0009388401164783], [-1.2357274010083712, 13.959964383581406], [4.788566853323997, 0.08519235215264853], [4.311323121602789, 20], [-1.371063445871859, 0.4904446187060283], [-1.857855431258586, 2.039244645452376], [-5.714990579605114, 20], [-4.524750684323995, 2.25253584037036], [15.643208963160294, 0.5628901929158774], [-15.956065378410095, 13.733984453716555], [-1.309046514455702, 5.764533247967832], [-1.399381081682641, -7.619070446495126], [-2.745354448535179, 2.0081470510069916], [-6.749986050566885, 6.038090228370375], [-3.8310746612552102, 0.22868488692942002], [-3.6594473615289163, 8.46212674462752], [-1.5552162430348815, 20]]",1.7501413737775986
8,"[[3.328631927715861, 4.087682999535716], [-1.9634565570599887, -0.147123447430606], [3.2372279182872212, 3.5811899847306043], [1.0888128512525999, 2.1892746477938205], [-3.3049407316947668, 5.101776276669797], [9.156965835561467, -1.4719006956879421], [-5.729265099385264, 16.733135699418987], [-0.9927920527849039, 12.57885804075488], [0.9651015412980967, 1.2739773395931828], [-0.3066069959908442, 16.206196419844055], [3.267697814202922, -1.515190846030253], [0.847129507585513, 9.772991625478202], [-1.3106405920602362, 0.6359024929140372], [-1.1064836094099888, 7.709147208291857], [-4.151668195347465, 20], [-3.277977597787042, 2.874445347312925], [-8.530657648802976, 4.823749070851025], [6.562862635430466, 20], [-1.3197687965078102, 0.6244231888685379], [-4.590915306377362, 6.280425495722021], [1.9390714298039549, 0.842959600195295], [0.4540350152579018, -1.9287673269802488], [-3.407622750870913, -1.0353621860940374], [-3.624232114430976, -12.579212026450419], [-1.6653552304036228, 16.807301838938727]]",1.7501413737775986
9,"[[-0.10183902609472906, 2.9785938057860264], [-2.8391674909288103, -2.153356219377131], [-5.553133767319844, 4.558306706409406], [-1.4341289319558745, -1.2917643103942011], [-0.16921092876451826, 6.25244106005811], [6.807853584623441, -0.9752420887004127], [-11.216462667084098, 3.013465633270094], [-1.138399728662797, 10.71224432948828], [0.7703435780097224, 1.0750089450170504], [-0.1197816404484286, 1.7373062832718666], [-1.6627900308658257, 1.6968259510060228], [-4.90328938064228, -4.013716411190282], [-1.2801554127756352, 0.7841274549597236], [-0.7933003558041112, 11.032614321334892], [-1.4216932935013942, 9.97125772693284], [0.36934362609235416, 3.0340403147017456], [-17.78514009260326, 7.327487723794796], [9.548256130224102, 19.344669379930558], [-1.3327204846983163, -0.870869666819063], [-4.5772730915838995, 10.415980839048064], [4.432008391535222, 0.5303310929571988], [4.259681498524056, -0.7467690590985772], [-3.077293189476458, 1.466954443577486], [-0.3892276351421895, -1.3308067322398518], [-1.3713521962737163, 9.597287445591077]]",1.7501413737775986
