Iteration,ParticleLocations,FunctionCost
0,"[[5.976568251058001, -3.604514094476407], [-4.529163628002205, 8.635239860268829], [14.208781393537896, 12.006008322266833], [13.907546617941472, 19.362149994698047], [2.6911256935909007, 14.638980361173582]]",9008.84459201857
1,"[[11.911645495211214, 20], [-3.7694015387947832, 20], [14.91627923388929, 17.433583095869743], [20, 20], [2.9156087221800853, 14.311017967344226]]",5478.541003372338
2,"[[-3.7405418891804594, 20], [-3.2375680763495875, 20], [-2.338956045611747, 20], [19.10291931834597, 20], [-5.252878916447859, 14.755730211119406]]",3368.485389373649
3,"[[-14.709374533411971, 20], [-2.91760499270862, 20], [-16.360836259337503, 20], [4.954110167535848, 20], [-9.856448334072427, 18.532180399386952]]",3368.485389373649
4,"[[7.891295231025342, 20], [-2.199532634119427, 20], [16.12667615432835, 20], [-4.950056238031236, 20], [-1.86881507759119, 20]]",2088.616693681637
5,"[[19.911174844439277, 20], [-6.3220892968915345, 20], [13.877215983596717, 20], [-11.882972721928194, 20], [1.984445527136057, 20]]",2052.2550748423955
6,"[[3.286894999483817, 20], [-9.152014564651115, 20], [-16.94844024603839, 20], [-10.02184384162455, 20], [3.066724726819963, 20]]",2052.2550748423955
7,"[[-15.998348077499578, 20], [-7.721960458483344, 20], [-20, 20], [-6.610161861334561, 20], [-3.189765532471122, 20]]",2052.2550748423955
8,"[[-20, 20], [-1.9651262626363808, 20], [-17.1119041712723, 20], [-2.745952101542958, 20], [-8.4703017782545, 20]]",2052.2550748423955
9,"[[-16.661414990659004, 20], [-3.258273148179639, 20], [7.097519174515142, 20], [-0.47959962770491193, 20], [-5.2672980006222225, 20]]",2052.2550748423955
10,"[[2.2389209228347937, 20], [-7.486833896893746, 20], [3.065398486166348, 20], [-7.650096147175869, 20], [-2.799696264983189, 20]]",2052.2550748423955
11,"[[12.134933265541203, 20], [-9.496742082465847, 20], [-5.894995711799313, 20], [-8.464081077195763, 20], [-2.029069686077921, 20]]",2052.2550748423955
12,"[[16.357895191238864, 20], [-9.042530570983915, 20], [-11.774855806792107, 20], [-6.144479735956981, 20], [-6.235970833741979, 20]]",2052.2550748423955
13,"[[8.631720354012547, 20], [-1.2812222609677217, 20], [-4.914659617423777, 20], [-2.2115349500121293, 20], [-7.987919347096171, 20]]",2052.2550748423955
14,"[[-20, 20], [-0.5152644077740662, 20], [-0.11252228486594618, 20], [-2.138730440569462, 20], [-8.436140222160097, 20]]",1749.6250827024967
15,"[[-20, 20], [-4.54415797252684, 20], [-0.5588341126745924, 20], [-3.609220634540468, 20], [-5.0737001482426365, 20]]",1749.6250827024967
16,"[[-20, 20], [-7.364383467853781, 20], [-8.684427098446571, 20], [-4.684085292217146, 20], [-1.6960400239659625, 20]]",62.817729464272944
17,"[[6.55832355246287, 20], [-6.364948846441263, 20], [-7.342054321066794, 20], [-5.17102011412675, 20], [-2.135937191561764, 20]]",62.817729464272944
18,"[[6.865215307752688, 20], [-3.8202659850714817, 20], [-5.1872792807948045, 20], [-4.746149871145882, 20], [-6.599880800300226, 20]]",62.817729464272944
19,"[[-12.381036394227902, 20], [-2.383766157791562, 20], [-2.8272158730015846, 20], [-4.209329163059185, 20], [-6.695099500452098, 20]]",62.817729464272944
20,"[[-20, 20], [-4.018617541568368, 20], [-3.7666142870732653, 20], [-4.396080504417177, 20], [-5.810216553068656, 20]]",62.817729464272944
21,"[[-12.271855207548182, 20], [-6.094444763571124, 20], [-5.399766996284476, 20], [-4.7391139841976395, 20], [-4.271779133770011, 20]]",62.817729464272944
22,"[[-5.551374186617819, 20], [-5.925653699991768, 20], [-6.143397442428511, 20], [-4.699469664541052, 20], [-3.4292158341633363, 20]]",62.817729464272944
23,"[[0.7519154400990926, 20], [-5.3325118298842495, 20], [-4.588400764239934, 20], [-4.542991448516913, 20], [-3.1021963107410278, 20]]",62.817729464272944
24,"[[4.438548376199742, 20], [-3.798284560678776, 20], [-3.4809628251810283, 20], [-4.433456697300016, 20], [-5.035196152446251, 20]]",61.441648837466424
25,"[[7.019191431470197, 20], [8.33805487544284, 20], [0.5166461039736241, 20], [5.4616366999102555, 20], [1.7233444696177207, 20]]",28.65806106590504
26,"[[6.827704512424841, 20], [12.733882095945255, 20], [7.890770553891176, 20], [11.436901544201385, 20], [9.827971071542944, 20]]",28.65806106590504
27,"[[6.231747438496156, 20], [12.191714785678023, 20], [11.566741177389387, 20], [7.677150673689209, 20], [12.676768168143106, 20]]",28.65806106590504
28,"[[2.8059610358031013, 20], [2.2363707449962966, 20], [5.906961163478252, 20], [3.576345406083261, 20], [2.5279250901682015, 20]]",28.65806106590504
29,"[[2.3123297486268655, 20], [-4.708652074662507, 20], [1.0578983976969063, 20], [2.3933058110497707, 20], [-1.615623113210221, 20]]",28.65806106590504
30,"[[4.953654308879884, 20], [1.600982399920749, 20], [2.0508401743184597, 20], [2.4107598841429043, 20], [7.372285156174376, 20]]",28.65806106590504
31,"[[6.527873466218125, 20], [9.750846282091464, 20], [5.126727298325028, 20], [2.8590902851850206, 20], [9.550872389049175, 20]]",28.65806106590504
32,"[[6.512991397490043, 20], [9.04518886916031, 20], [5.974036665976194, 20], [3.584342400790511, 20], [4.095877968053054, 20]]",28.65806106590504
33,"[[3.922047612442815, 20], [7.751922691228011, 20], [5.644833558297604, 20], [5.232499416609893, 20], [0.7700639346225375, 20]]",28.65806106590504
34,"[[2.149213147855303, 20], [6.064116294095125, 20], [4.777838173080683, 20], [5.256450691546732, 20], [0.13379758529720132, 20]]",28.65806106590504
35,"[[3.8254940292869124, 20], [1.9542044742600693, 20], [4.05558654926241, 20], [3.8912160183908346, 20], [1.5412271497823558, 20]]",28.65806106590504
36,"[[5.956235607841766, 20], [3.2252287841152087, 20], [3.7827950310901697, 20], [3.3627358009351145, 20], [3.9673986873887, 20]]",28.65806106590504
37,"[[6.393996934039205, 20], [6.425795716243924, 20], [4.432166236200327, 20], [3.66647845180966, 20], [5.737159622201601, 20]]",28.65806106590504
38,"[[4.677467429636814, 20], [8.315075130263324, 20], [4.890435258026733, 20], [3.9049673599997496, 20], [4.6524695137061665, 20]]",28.65806106590504
39,"[[3.3966790174488746, 20], [3.901132968308559, 20], [5.112455284227881, 20], [5.120125764128848, 20], [3.6790496717311427, 20]]",28.65806106590504
40,"[[3.4467812850786497, 20], [1.1180488427615893, 20], [4.459479982124415, 20], [5.603513810723515, 20], [3.4320458427452394, 20]]",28.65806106590504
41,"[[3.5794724070530086, 20], [4.7986029891699244, 20], [4.002397270651988, 20], [4.275246005052667, 20], [3.9827835226201644, 20]]",21.164727189688243
42,"[[4.334598396200371, 20], [6.97703358984605, 20], [4.466406151112299, 20], [3.451295635873793, 20], [4.958033725664608, 20]]",21.164727189688243
43,"[[4.969373694082861, 20], [5.925261722291259, 20], [4.791212367434516, 20], [4.9003391784647885, 20], [5.457316842748689, 20]]",20.21109272804892
44,"[[4.508980175104544, 20], [2.3747579831927874, 20], [4.494537685610471, 20], [5.296446304496725, 20], [5.059995328738121, 20]]",20.21109272804892
45,"[[4.163502045155177, 20], [0.05816334321431338, 20], [4.28147166612319, 20], [4.409158603981885, 20], [4.494513818604032, 20]]",20.21109272804892
46,"[[3.9508863371581953, 20], [2.268795107443484, 20], [4.228169636280424, 20], [3.892437951925232, 20], [4.097691348858986, 20]]",20.21109272804892
47,"[[4.362179389326262, 20], [5.995177346983716, 20], [4.378433073879637, 20], [4.074550114052341, 20], [4.074578144215974, 20]]",20.21109272804892
48,"[[4.83967025873976, 20], [7.395652519274739, 20], [4.5244753927047086, 20], [4.273644906903589, 20], [4.663858933185499, 20]]",20.21109272804892
49,"[[4.814455361100923, 20], [4.7035631546013015, 20], [4.601263595232779, 20], [4.555948529534259, 20], [4.993556426895818, 20]]",20.21109272804892
50,"[[4.435778225345922, 20], [2.7290568681033474, 20], [4.407800289115399, 20], [4.6166232650767505, 20], [4.444850060834932, 20]]",20.21109272804892
51,"[[4.228746964008356, 20], [1.912593466484971, 20], [4.3743505865756545, 20], [4.487913726242732, 20], [4.094860835151874, 20]]",20.21109272804892
52,"[[4.134469330690089, 20], [3.627126121780562, 20], [4.437387648592394, 20], [4.3727568640713175, 20], [4.254017371954765, 20]]",20.21109272804892
53,"[[4.669840073065634, 20], [5.298952986592088, 20], [4.537946944899649, 20], [4.331063000585864, 20], [4.721583632771177, 20]]",20.21109272804892
54,"[[4.929807945334069, 20], [6.0958452098673375, 20], [4.473332098580946, 20], [4.4478519662981215, 20], [4.540947201712824, 20]]",20.21109272804892
55,"[[4.211554160270875, 20], [5.563428186855975, 20], [4.428101706157855, 20], [4.560939607619451, 20], [4.350436898789319, 20]]",20.022149201571494
56,"[[3.9196050792637913, 20], [3.4429483322765577, 20], [4.403923522184971, 20], [4.587152359149212, 20], [4.255566250452648, 20]]",20.022149201571494
57,"[[4.039947387961776, 20], [3.8312456350310606, 20], [4.447270481149197, 20], [4.47445503171541, 20], [4.440773900327123, 20]]",20.022149201571494
58,"[[4.241173744341966, 20], [4.752806942990153, 20], [4.516371841701542, 20], [4.394446292713931, 20], [4.593740111343536, 20]]",20.022149201571494
59,"[[4.553354437040312, 20], [4.966503965880747, 20], [4.564664460136468, 20], [4.436092366617044, 20], [4.613238328376877, 20]]",20.022149201571494
60,"[[4.650325285139512, 20], [4.152985853337926, 20], [4.447419811225881, 20], [4.507153249322421, 20], [4.354170741043681, 20]]",20.022149201571494
61,"[[4.423393815461055, 20], [3.737510748373386, 20], [4.368578859533657, 20], [4.497051570691026, 20], [4.264074383835451, 20]]",20.022149201571494
62,"[[4.334051288901855, 20], [4.1105652332263825, 20], [4.4543736985416675, 20], [4.48600539255179, 20], [4.575591244488793, 20]]",20.022149201571494
63,"[[4.368220843932646, 20], [5.06004509889342, 20], [4.537175234567393, 20], [4.46234941481463, 20], [4.713938109805318, 20]]",20.022149201571494
64,"[[4.440747175503761, 20], [5.321727553543781, 20], [4.511783082930599, 20], [4.447980169018591, 20], [4.597491654163085, 20]]",20.022149201571494
65,"[[4.553961464867248, 20], [4.447083546556652, 20], [4.461054310315076, 20], [4.453752413119015, 20], [4.398825767524902, 20]]",20.022149201571494
66,"[[4.622728000162737, 20], [3.8566403007361894, 20], [4.434851814796631, 20], [4.478547078763934, 20], [4.263607221320898, 20]]",20.022149201571494
67,"[[4.546560809569165, 20], [4.348944760052338, 20], [4.450986535102887, 20], [4.49410135459199, 20], [4.314309097738842, 20]]",20.022149201571494
68,"[[4.379909342764144, 20], [4.934199479351445, 20], [4.474987023338271, 20], [4.480674177867672, 20], [4.524858294569486, 20]]",20.022149201571494
69,"[[4.434525925185751, 20], [4.678818635131563, 20], [4.49173205640259, 20], [4.459031235905983, 20], [4.628132147251988, 20]]",20.022149201571494
70,"[[4.527439457563025, 20], [4.468079618274018, 20], [4.482539332113183, 20], [4.464639490417049, 20], [4.561793397685503, 20]]",20.022149201571494
71,"[[4.513240807981617, 20], [4.321279992130414, 20], [4.471184160564662, 20], [4.472046558733758, 20], [4.341225019560649, 20]]",20.022149201571494
72,"[[4.502864842789335, 20], [4.273666408552944, 20], [4.463235540480698, 20], [4.476772636978931, 20], [4.390660237482245, 20]]",19.998733556510626
73,"[[4.47485375009579, 20], [4.408173955910627, 20], [4.468142059501203, 20], [4.473199647757933, 20], [4.43599330079289, 20]]",19.998733556510626
74,"[[4.449222195384263, 20], [4.593218500190295, 20], [4.475373682451091, 20], [4.469149634048072, 20], [4.476870041346886, 20]]",19.998733556510626
75,"[[4.43782404454666, 20], [4.686375610133914, 20], [4.476848737257966, 20], [4.4676319478760105, 20], [4.49675010205446, 20]]",19.998733556510626
76,"[[4.4739642181035775, 20], [4.615074270100075, 20], [4.474348331074661, 20], [4.4676399555429365, 20], [4.466257877049663, 20]]",19.998733556510626
77,"[[4.496783151082673, 20], [4.54936133899444, 20], [4.466646344017693, 20], [4.470863480554941, 20], [4.453812429354796, 20]]",19.998733556510626
78,"[[4.498672032813606, 20], [4.481627451466029, 20], [4.46940373643158, 20], [4.473273517846675, 20], [4.479089003901847, 20]]",19.998733556510626
79,"[[4.455189879591363, 20], [4.42682189880877, 20], [4.471683929840569, 20], [4.47184571139668, 20], [4.488170193847151, 20]]",19.998733556510626
80,"[[4.4347117693394535, 20], [4.441530943947438, 20], [4.47328006522686, 20], [4.470564937635188, 20], [4.469531174592155, 20]]",19.997591617133523
81,"[[4.482926178879281, 20], [4.478804703800248, 20], [4.472390390621437, 20], [4.469972908204769, 20], [4.456530374299617, 20]]",19.997591617133523
82,"[[4.499153711208241, 20], [4.494028945254965, 20], [4.471324031874078, 20], [4.470018294269405, 20], [4.465068856247305, 20]]",19.997591617133523
83,"[[4.470298305615991, 20], [4.4864615785525075, 20], [4.470876418431585, 20], [4.4729767285479625, 20], [4.475768735578362, 20]]",19.997591617133523
84,"[[4.4521205163066435, 20], [4.452950624330416, 20], [4.4712863015125635, 20], [4.473282267442397, 20], [4.482295566519832, 20]]",19.997591617133523
85,"[[4.471909518038603, 20], [4.446564664044143, 20], [4.471824569384408, 20], [4.470804958713115, 20], [4.485264296354846, 20]]",19.997591617133523
86,"[[4.485747150822739, 20], [4.4608227784896135, 20], [4.4721204195944635, 20], [4.47033033685868, 20], [4.485105950959779, 20]]",19.997591617133523
87,"[[4.467773937607143, 20], [4.489125249373934, 20], [4.471773449258098, 20], [4.471504018626646, 20], [4.472356033908, 20]]",19.997591617133523
88,"[[4.456238088833338, 20], [4.479438509999718, 20], [4.471109008986148, 20], [4.4723255958642225, 20], [4.461860126010865, 20]]",19.997542485810868
89,"[[4.449739808631972, 20], [4.466536545278716, 20], [4.471109701533172, 20], [4.472017065914397, 20], [4.466084220431094, 20]]",19.997542485810868
90,"[[4.452896029155394, 20], [4.465455594181748, 20], [4.471685403069506, 20], [4.470869218747824, 20], [4.4701457349664775, 20]]",19.997542485810868
91,"[[4.472010937676541, 20], [4.47147385541236, 20], [4.471972352784766, 20], [4.470149954133766, 20], [4.47474369278294, 20]]",19.997542485810868
92,"[[4.48492153482659, 20], [4.475693398226413, 20], [4.47174153489347, 20], [4.470261024661452, 20], [4.475096629568217, 20]]",19.997542485810868
93,"[[4.485540622300178, 20], [4.477882768050034, 20], [4.471349375387514, 20], [4.471927691507504, 20], [4.468409510102665, 20]]",19.997542485810868
94,"[[4.48552550388244, 20], [4.476532336118437, 20], [4.471092179420007, 20], [4.472331011311784, 20], [4.46878926556755, 20]]",19.997542485810868
95,"[[4.48123883206253, 20], [4.4725274029186695, 20], [4.4717268992552475, 20], [4.472290655934562, 20], [4.470551303844259, 20]]",19.997542485810868
96,"[[4.476942621126931, 20], [4.468034887604221, 20], [4.471840489295089, 20], [4.470937857191975, 20], [4.473562800650596, 20]]",19.997542485810868
97,"[[4.473477795648635, 20], [4.471648045455453, 20], [4.471858431318823, 20], [4.470824412200845, 20], [4.4730245608458405, 20]]",19.997542485810868
98,"[[4.468287158145282, 20], [4.474177255951315, 20], [4.4715463565874884, 20], [4.4718976839075255, 20], [4.470335101721815, 20]]",19.99754048044241
99,"[[4.4682013127750935, 20], [4.473619927930906, 20], [4.4713279042755545, 20], [4.471981117134999, 20.0], [4.46934676043298, 20]]",19.99750746277982
100,"[[4.470948731218522, 20], [4.472496339288745, 20], [4.47124533709781, 20], [4.471886625173082, 20.0], [4.471516965864778, 20]]",19.99750746277982
101,"[[4.4738171352807035, 20], [4.470885260361571, 20], [4.47177030988847, 20], [4.471213389462668, 20.0], [4.473064832113702, 20]]",19.99750746277982
102,"[[4.475238703363683, 20], [4.470994360496517, 20], [4.471955212827335, 20.0], [4.470957253856847, 20.0], [4.471209346055622, 20]]",19.99750746277982
103,"[[4.474248768681877, 20], [4.47117044154698, 20], [4.4719459294541535, 20.0], [4.471381557244994, 20.0], [4.46997122153306, 20]]",19.99750746277982
104,"[[4.470669555268698, 20], [4.471386069205219, 20], [4.471662783634387, 20.0], [4.47169524813641, 20.0], [4.472146296907188, 20.0]]",19.99750746277982
105,"[[4.4696239716874935, 20], [4.471720241639221, 20.0], [4.471366687270434, 20.0], [4.4717305236743465, 20.0], [4.472862287298234, 20.0]]",19.99750746277982
