Iteration,ParticleLocations,FunctionCost
0,"[[-3.3500884672181392, 20], [-0.9791915926560857, -1.817966440441399], [-2.5561301084187606, 14.19011991017601], [-2.5783655714427347, 20], [-2.6579406496274594, 17.86516322890843], [-0.2965761577623667, 20], [-7.135176330103455, 13.718445880186124], [5.570635369614902, 7.917549747974908], [-6.112326450456736, 20], [-7.999052912420131, 6.889186158104312], [4.681253720097883, 12.849017649535138], [-2.080480553510249, 17.00109559217436], [-4.614309378006752, 7.081655287150912], [-10.959253228583796, -3.0056485694197406], [-5.122718442811294, 12.802979024766476], [-0.2258386509579764, 20], [-17.165624343316924, 3.340709978955278], [10.149696918481023, 20], [-7.872285169595269, -1.6478655965038058], [3.9981362016760538, 12.17849023235576]]",1544.5709847961639
1,"[[6.084155559190625, 20], [-1.960198726505039, 4.410966228371547], [-1.8533704054193343, 10.206433198289938], [-8.456687900490614, -7.657816776016453], [-7.4512194502553735, -4.131317912508354], [-12.608247197943621, -3.3473115548360326], [-13.706915263153233, 1.5365948627480268], [-12.4388263067356, -0.6165347803609276], [-1.3536869660637372, 8.584245112768265], [-5.553153241290692, 15.974631945548246], [-1.8470306231404772, 3.4778124522365452], [-5.240617001811148, 5.138512510915104], [-7.304083666208332, 17.41184261888762], [12.635269076609996, 7.744764243180327], [-3.904377242033005, -3.5251119412631056], [-3.7487214021529796, 20], [-0.6159372961541791, 1.9824405996883998], [20, 20], [4.475559555398018, 5.969941410546478], [-6.502643595935986, 6.0452049718181105]]",772.0109855881726
2,"[[-1.0832858576613686, 20], [-2.509780711253163, 7.37948564949299], [-1.3581584843378944, 0.35241921382324115], [-6.180788368790449, -5.391305916708976], [-1.8172660656422615, -7.941838570825253], [-19.712523035445727, -12.88457391887044], [-1.1982336076206668, -5.247618264176291], [-20, 1.5750072374931223], [1.083791735304938, -0.8760054250459834], [2.727098051666262, 7.965226811954633], [-6.416829663407329, -3.08203118587247], [-2.953122866782711, -6.25704693640998], [-6.58424501931874, 20], [16.062004159317297, 10.573291850632545], [0.048442747557396526, -4.642704107444395], [-5.426524017021334, 20], [9.296308350744964, 1.943623808084065], [2.1899870784433233, 10.823752197433711], [2.915892300410322, 8.683954478604338], [-10.973027040128702, 0.24874245254824423]]",3.8509629002513512
3,"[[-6.622527244954797, -7.4238442231481265], [-1.8133556947717515, 8.829932895567914], [-1.3192734681984595, -3.7069462655509238], [-3.823837797070734, 5.275265054144649], [2.0752526958407937, 1.341631908056053], [10.379943939187498, 8.301929905001355], [6.489797249910091, 4.730063555035562], [6.938237490059187, 5.408646276391654], [2.7033558841311436, 0.6163574733457402], [1.6908842883558295, -3.874689238073511], [-3.177567914722663, -6.401565259667828], [0.3357461422712018, 4.363718677215131], [-3.025994188730563, 15.116795670788493], [16.528547385018598, 11.68680208000338], [1.4637566314921782, 9.224679015032445], [-3.235040572509612, 8.615274417098016], [1.0611348381315455, 2.693441903017087], [-11.018270609318009, 3.653568304148588], [-6.457836314087787, 3.4193311340428227], [-13.175762105584639, -1.0472126844169938]]",3.8509629002513512
4,"[[-2.586358906869065, -17.990560946950097], [-1.3358317811757714, 6.489317306177296], [-1.6485539968575964, -1.1667867800341067], [-0.5293617376634501, 11.418670423213777], [-1.7696304463395296, 11.58027378591115], [20, 19.675791489612852], [9.987024809526192, 10.028648853032376], [19.628178346106395, 5.213599463335919], [2.566491091068105, 3.8029093522049653], [-4.064653138972428, -9.074461836687522], [0.16399827031450176, -8.176190685081465], [-0.08301023485796, 11.025372088824394], [-0.4447186791097879, 3.7719842692325933], [-10.377200939894621, 10.931617983870595], [1.1514854346642136, 15.68977337941009], [-0.9353518418521554, -5.85412752172906], [-9.800603227001128, 4.561632523824382], [-9.601450911210113, -1.509122949612335], [-10.637627739725447, -0.19994959996479977], [-11.239279356308883, 0.3259539443952173]]",3.8509629002513512
5,"[[1.3272888136408794, -19.14630395427466], [-1.2835526553743528, 3.315094346573744], [-2.11645373067536, 6.56396091499689], [0.36297796819635453, 6.104730073594143], [-4.550047062337124, 16.97026524573529], [-2.010924234866337, 10.088251192258724], [11.220761496477307, 3.151273381482019], [20, 1.741486901018118], [1.6914035684018527, 5.4938573890656475], [-5.310144482061386, 10.561204873650073], [-0.5070475570481543, -0.02891994704157952], [-1.4835710752777218, 6.730893627831646], [0.7697703357705585, -4.578830933900569], [-20, 2.4320375334455626], [-3.9722126632678614, -1.6893780594238255], [0.5730739167873793, -13.581473306294313], [-3.3049699082163153, 4.630558119984085], [-3.7560889048158748, 1.2077177479913486], [-10.800468769449013, 0.28799379586830565], [0.9436994839877197, 5.181862921461865]]",3.8509629002513512
6,"[[1.1015792745357391, 20], [-1.4892103312905167, 1.136647067682997], [-1.9795882813549366, 9.22102383507147], [-3.240347883961857, -1.1112902220840564], [-6.069312412217839, 9.50038129761538], [-17.181557756853394, 1.2290070786591052], [0.605853175082876, -1.0227455243639776], [-12.96706236927151, 0.30825646058449085], [-1.4385013749626772, 4.059269595877181], [-4.489897192148425, 18.76267314209534], [-1.0163712586878613, 12.126941156479292], [-2.4719993997905454, 0.8867124717293198], [1.2358520233078378, -4.872820142147221], [-20, -3.1201803765739156], [-5.848000139756215, -9.43185173506045], [0.37503018104567, 8.798053799662426], [4.133459992824716, 2.918421886350581], [3.3001370746100642, 5.91857977060853], [5.047943803276885, 5.101793143774906], [7.883447491027016, 7.613481726732178]]",3.8509629002513512
7,"[[-3.196259500908922, 20], [-1.8062889555844988, 0.46102251628270585], [-1.8364562428796969, 0.21057661848206166], [-3.6171676090463376, 0.16045404575646494], [-5.235206546306995, -1.9975443050282475], [-11.421463874726573, -4.565600326406023], [-8.786791029650828, 1.154788379799526], [-19.891510253928605, 0.8847433037153933], [-4.283061932737111, 2.78356703076014], [0.23885182613426004, 2.5720663941575417], [-1.5906943834840654, 10.175704071639966], [-2.4138803441224814, -1.437191353812862], [-0.4735024089024633, -3.7344882445480567], [3.0277317723107267, -1.507624747537216], [-6.144357102108755, 10.17150498018428], [-3.6187469139503188, 20], [1.5297379800880018, 2.184125723103545], [-1.4228791386493267, 8.347222869156885], [5.727275895506287, 6.57416755267818], [-4.173723004989456, 4.268208177833664]]",3.8509629002513512
8,"[[-4.512013334129856, 20], [-2.080596778158898, 2.438110492727308], [-1.7366855326771629, -5.60466251345269], [-1.362506536022154, 2.4670457859113597], [-1.5578578784065233, -7.046404702828529], [9.629559459199854, -1.326995405748053], [-2.7035576943858777, 4.090474797469758], [5.615501800543413, 2.03238048603978], [-4.243810265205145, 2.8003222148289844], [0.5978450872140417, -7.742735431339884], [-2.0516271686324488, -4.51542401057106], [-1.5156754653766062, 4.816576256567187], [-2.8551427717525537, 10.284456625449035], [16.674655072575476, 6.922449576049647], [1.9726169701426333, 20], [-4.256658018153482, 7.679325711947312], [-1.0869073418496278, 2.820796534047179], [-4.732324754000324, 1.2267093900655794], [2.404826859948076, 1.973211226488992], [-10.260454559177553, 1.8505094170692766]]",3.8509629002513512
9,"[[-4.11657980876078, 16.59617148510719], [-2.2352506877786915, 5.150343578510474], [-1.834942088716731, -8.489849018689831], [0.0021217283700964984, 5.822394234161647], [0.8148889374690955, -0.05093742527578904], [8.539292357868366, 1.502175720030487], [2.9408917410948607, 5.999048154215952], [20, 4.4067284594987175], [-3.0347096747395246, 3.726401574176243], [-3.607805193419349, -10.498286285151991], [-2.15390948470628, -3.4751520982827024], [-1.2655403500359097, 7.243373537313552], [-4.4979999511166815, 11.454477765285418], [-0.325676827404493, 11.725778824625449], [3.385091753403703, 20], [-0.9987380250117153, -1.7061336392655946], [-4.246994579318964, 4.3126694338742615], [-4.032984000188196, -0.14793230944002467], [-7.831330705676035, -1.0764005552214186], [-0.6956513476914079, 2.6311152910684816]]",3.8509629002513512
