Iteration,ParticleLocations,FunctionCost
0,"[[2.8583667418623904, -11.798890914480623], [-14.168032763731151, -6.964074705424907], [1.6734543522541672, -4.023825024390667], [13.818878630224631, -6.4115768186953535], [4.357897233825497, 6.550659031160478], [2.517285908284866, 1.5866437209134254], [-16.73705090763161, -11.620270257126833], [3.8378972329937397, 1.582613679488757], [-2.4882724698155947, -6.857693138210255], [5.557830080218399, 5.412910488816095]]",3305.6327763319227
1,"[[8.949902278852381, -3.3475005512444422], [-9.166111085989257, 11.082431945860485], [3.4974076221091295, 6.587817056834857], [20, -2.5379222724081316], [17.276685444477224, -0.33812786989151444], [7.9052373968437735, -4.250675274256783], [-9.72980324964297, -0.6959422775945647], [11.942417624956024, 11.655817751330869], [7.631378535456072, -20], [3.2018927736547913, 13.90133842309531]]",2262.667121039489
2,"[[3.544982342652303, 20], [15.15130952117497, 20], [4.651564445473355, 19.238382475265485], [9.69565343578784, 16.740379871615165], [20, 19.85068162264562], [7.0800444000429685, -3.0744966483567584], [15.826822311183527, 7.40532535545095], [12.711142690309398, 20], [10.129916891998802, 16.980315571373517], [1.552736659060266, 19.843237977090762]]",1341.933573056353
3,"[[1.8006156061506302, 20], [17.25222104669703, 20], [5.459474221828312, 20], [-4.0415247623836805, 20], [3.9710797168534704, 20], [3.0657448515908845, -0.5188628786501761], [20, 20], [9.19652056628223, 20], [7.8070665132490875, 20], [0.7045819586111169, 20]]",596.998500123264
4,"[[5.739894636786238, 20], [15.765873133796072, 20], [5.55561733113841, 20], [-5.063216402481549, 20], [-7.151127464291061, 20], [2.282641659939255, 20], [2.8854950500215253, 20], [-0.5651782346210421, 20], [5.549614280919598, 20], [4.362386353238535, 20]]",596.998500123264
5,"[[6.760091267380213, 20], [3.211096978093698, 20], [4.622104456568254, 20], [8.332291354702663, 20], [-9.726192948190636, 20], [4.646454198571891, 20], [-7.3969359560576144, 20], [-2.77307766468158, 20], [3.693590414129969, 20], [6.922849429477727, 20]]",113.0399810772793
6,"[[4.211348979181638, 20], [-5.0238541121191, 20], [3.5614436812831753, 20], [17.189122485613957, 20], [2.8332479593507482, 20], [5.881899344373087, 20], [-5.959406455217053, 20], [9.091900920630746, 20], [3.036214190402127, 20], [3.9880648480553758, 20]]",113.0399810772793
7,"[[2.5035962671675556, 20], [-1.2932961000775132, 20], [3.3568088316797926, 20], [8.054304720202332, 20], [11.857024607328604, 20], [5.490330782020018, 20], [-2.985187004958555, 20], [8.164625266969663, 20], [5.199345825072083, 20], [2.0237746519642945, 20]]",113.0399810772793
8,"[[4.465819701312096, 20], [4.028903786616467, 20], [4.147480863691504, 20], [-1.1237226077202571, 20], [14.153970493688124, 20], [3.4745706798703817, 20], [6.149727966537342, 20], [6.632175890021818, 20], [5.108927231368183, 20], [0.6786227386374122, 20]]",113.0399810772793
9,"[[5.839376105213274, 20], [8.193735438362225, 20], [4.748083821509309, 20], [-2.982271960793984, 20], [13.4179814364031, 20], [3.7363083519828004, 20], [12.441196876374665, 20], [1.695898696683562, 20], [4.759207577538121, 20], [2.255152831774428, 20]]",20.262255480317418
10,"[[6.700990933030129, 20], [5.104569304896205, 20], [4.8671051798372345, 20], [-0.4258881924944289, 20], [5.173606938869776, 20], [5.152717014396389, 20], [3.4597537665428817, 20], [2.3240929344530565, 20], [4.050377394519671, 20], [5.6208333407837765, 20]]",20.262255480317418
11,"[[3.84830341761456, 20], [1.976773997079631, 20], [4.288581254471149, 20], [6.987878157444515, 20], [-1.1299256526947516, 20], [5.794102380041759, 20], [-2.80252363320035, 20], [5.784074588974777, 20], [3.984978352512, 20], [7.6813802289149695, 20]]",20.262255480317418
12,"[[2.9656221276810237, 20], [0.740742613831955, 20], [3.9413122618981835, 20], [10.697968666460294, 20], [-1.9766872085707403, 20], [4.7700269241360544, 20], [-6.72383950846973, 20], [7.630105652443012, 20], [4.038377055657323, 20], [5.865392166859587, 20]]",20.262255480317418
13,"[[2.3492987044729263, 20], [3.884420368166982, 20], [4.4351601499105895, 20], [6.129963242298567, 20], [6.836905266132162, 20], [3.612302359075744, 20], [7.505892527127774, 20], [3.587432487174926, 20], [4.405292135351854, 20], [2.171637493134938, 20]]",20.262255480317418
14,"[[6.010179112777246, 20], [6.645622474300177, 20], [4.834105434567895, 20], [-0.3169529510823743, 20], [10.353287349398075, 20], [3.5632438034227976, 20], [13.772275532677444, 20], [2.2380818400813305, 20], [4.707576666775397, 20], [2.9870483780692973, 20]]",20.262255480317418
15,"[[6.30448391836409, 20], [6.767167727342363, 20], [4.47602636088506, 20], [-0.3113922146917316, 20], [5.204201256070751, 20], [5.326823734712789, 20], [8.834277600794916, 20], [2.9200042670457123, 20], [4.918936237287207, 20], [5.593185538518366, 20]]",20.262255480317418
16,"[[4.915166747034627, 20], [5.631943170617522, 20], [4.225371009307075, 20], [8.19088295064918, 20], [1.2230820245225846, 20], [6.27460871617103, 20], [-1.9182977562844226, 20], [3.9221073806948117, 20], [4.624787780990952, 20], [5.478342622828569, 20]]",20.155999401730114
17,"[[3.2122830513728653, 20], [4.35880746050119, 20], [4.113091486412275, 20], [11.983944516462008, 20], [4.235569176520912, 20], [5.40973229450739, 20], [-3.8893468659544936, 20], [4.765812286872908, 20], [4.371729494928471, 20], [3.8187689692135693, 20]]",20.155999401730114
18,"[[4.226894152169372, 20], [3.5004791898390746, 20], [4.040602003472571, 20], [2.145866315378525, 20], [6.7506281498807965, 20], [3.4534783847278874, 20], [-2.440048609332858, 20], [4.788541249751491, 20], [4.2930502116607725, 20], [3.8954481030526544, 20]]",20.155999401730114
19,"[[4.938348957556948, 20], [4.515755663888243, 20], [4.234968780916818, 20], [-4.181830050208861, 20], [6.018734481097853, 20], [2.5329963302203815, 20], [2.277083827443777, 20], [4.406147845190929, 20], [4.2497541070264635, 20], [5.009876701561878, 20]]",20.155999401730114
20,"[[5.0887866242103375, 20], [5.165392356367131, 20], [4.719194518674744, 20], [0.5641159298548155, 20], [2.447663636609248, 20], [5.756661293637638, 20], [6.66017720794096, 20], [4.162836890231766, 20], [4.563994267183228, 20], [4.891251361496813, 20]]",20.155999401730114
21,"[[4.302857855323144, 20], [4.648352767104893, 20], [4.786167206239783, 20], [6.426029041576675, 20], [0.441014493835687, 20], [6.012853698473763, 20], [6.132949900701915, 20], [4.397781750119607, 20], [4.729412548087872, 20], [4.666434403770292, 20]]",20.155999401730114
22,"[[4.052285979057612, 20], [4.237893716531578, 20], [4.315187498528991, 20], [6.701059031320305, 20], [4.418976428435672, 20], [4.041214556296273, 20], [3.6911372878836137, 20], [4.604147522522483, 20], [4.6351569775876875, 20], [4.424179814978117, 20]]",20.155999401730114
23,"[[4.277982508785774, 20], [4.037024672454576, 20], [4.096391082058586, 20], [3.080136715964552, 20], [7.2766702352527375, 20], [2.6958846531430734, 20], [3.2097120347797574, 20], [4.537012384379631, 20], [4.353143499501205, 20], [4.333629110889997, 20]]",20.155999401730114
24,"[[4.731862681007969, 20], [4.076573616842739, 20], [4.494828204846931, 20], [0.6565569481320446, 20], [4.8188465955079, 20], [3.660190445231506, 20], [2.9730984288246516, 20], [4.399552175661575, 20], [4.310193738811882, 20], [4.363779977563656, 20]]",20.155999401730114
25,"[[4.9639855695637864, 20], [4.38165958546067, 20], [4.745679627234689, 20], [3.6157045704512574, 20], [2.96529848895909, 20], [5.363689365538675, 20], [2.9893629909902923, 20], [4.367026573114907, 20], [4.428558497391495, 20], [4.503466079647363, 20]]",20.155999401730114
26,"[[4.277711487401361, 20], [4.766731878202492, 20], [4.60079241008391, 20], [6.766669446857996, 20], [3.634249893186282, 20], [4.879597453901205, 20], [4.6109273936107735, 20], [4.535955860895419, 20], [4.575486339001356, 20], [4.550743502821534, 20]]",20.155999401730114
