Iteration,ParticleLocations,FunctionCost
10,"[[1.387662989613955, -0.33967786797231064], [1.2433175315555856, 1.1959292622434856], [-1.5137868746142957, 0.1086712605930211], [3.3006285286994244, -3.2376372928214736], [3.6063117957707025, -5.689289968021663], [-1.6968650653527813, 8.673045606418395], [-12.597074962858718, 0.09248592569211489], [3.1221541357768006, 0.5121588033551983], [-19.068232851619648, -2.2545121300004007], [-2.467001466986227, 0.04795393964242624], [-1.1468904635419337, -2.6816957762901463], [11.55741680404088, 5.8585486577897825], [-0.9631138519157667, 6.779764343824236], [1.1764171627670448, -3.5690280545298423], [-0.04648203865076628, 8.689990939544483]]",6.845731158434795
11,"[[1.3120885338317874, 0.24560001137059279], [2.1941849391437094, 0.39551270486037693], [-0.1473734410633769, 0.03613221646298043], [1.8392801861910841, 2.374113100697737], [0.38801668179767335, 5.330551287454034], [-0.7060991312791881, 20], [-7.4697940929409885, -3.3444035037431146], [-0.33525587978384497, 2.5721716011956723], [1.1052048891142547, 1.8893032742303086], [-1.4030527321973607, 0.2816264044151245], [-0.7650441032138249, 0.5745274241840224], [8.730603040390575, 16.795253934574937], [1.1012043974523897, 1.4571103018796157], [1.6027287136378081, 1.6151399960951922], [1.6001064936561513, 8.052196467189916]]",6.845731158434795
12,"[[0.6073273245075739, 0.48824580208502666], [-1.2209729586611688, -0.1749525391567749], [0.8091159624222662, -0.014645114428048042], [-1.8973093415033404, 2.5857282145435736], [-2.0633579281991183, 11.942565291312295], [0.16880263903602433, 20], [4.152873227960365, -1.6997638073901284], [-2.418278151286999, 2.271735387072649], [12.848627624853172, 4.675984426535483], [1.252155827559422, 0.04545963223283703], [-0.04173477595368502, 2.6212109375721493], [5.052267281427875, 7.441148678772095], [0.4613418086193337, -4.132688330957484], [-0.4803327611490109, 4.607808194041576], [2.609971112795421, -0.8473279039856543]]",4.269062818295147
13,"[[-0.036381501480418965, -0.13392326526860754], [-2.354538605703013, -0.3472098771597244], [0.2785838421547083, -0.004054882041500833], [-3.4080343188863065, 1.9360867637116985], [-0.10758677227009805, 4.576085500080617], [0.39001825395013, -10.537736171689964], [5.807130225166355, 0.2562097533697498], [-0.6444807926345713, -0.9116991714423923], [5.345969379623112, 1.9401069895491148], [0.5314365338123546, -0.13253638126115774], [0.45621354019913285, 3.7531503545222713], [0.7376206161889858, -5.090279589178053], [-1.078500836364755, -3.860462043779058], [-1.4042704978756713, 0.2538562730699434], [0.3103733720088737, -5.940588209589737]]",4.269062818295147
14,"[[-0.48697767967201394, -0.5694416124161514], [-2.6129364080746074, -0.16826683029715594], [-0.3831947302028169, -0.1101600148394424], [-4.036808739829594, 0.167972069263161], [1.262733795374702, -2.4228480563962966], [0.03300980274437826, -11.77148468922114], [1.5102076361774426, 1.4817095537611222], [1.2340279934540443, -1.9942727871361623], [-3.416525353582765, -3.206536934904002], [-0.9828781158642628, -0.2579614577160286], [0.5248584863679493, 3.1027974423850226], [-2.611440906161644, -10.165291202473652], [-1.4714024723071875, -0.022254809084311322], [0.6389631166823997, -2.9182131398435516], [-1.5725447216630353, -3.5986772165103846]]",3.6156798189966963
15,"[[-0.5661168392126685, -0.6529430978734828], [-0.1998130823365356, -0.03451048808744345], [-0.5856927703887891, -0.21161126454907517], [-3.3336233763572833, -1.0762601167506336], [2.0969288756561806, -5.587026806673741], [-0.30232510543934643, -5.217165831233203], [-2.4432609761278257, 1.0358274089546107], [1.4523993062338898, -0.1787056467108532], [-3.25409067178178, -1.9161409769609965], [-0.6765538311850772, -0.14262218532175025], [0.21063993133937375, -1.5063259078582218], [-3.2474773043447307, 4.227462257528371], [-0.2792018346796772, 2.628906189447603], [0.9000450178456736, -3.131673926409326], [-1.8625321408782254, 4.707714806075311]]",3.6156798189966963
16,"[[0.005007224862204285, -0.27932369585669997], [1.5919977357926272, -0.12169519356080864], [-0.07020246824040244, -0.27448981764146524], [2.830042378143422, -1.47933809454384], [-0.27660023487003693, -2.8895031407375944], [-0.06858763252724956, 6.747246586392205], [-4.249293076886062, -0.7526694334152708], [1.1365577279129766, 1.099341539651092], [0.3987628994452592, 1.3864515280459058], [0.7406779528392484, -0.05083626213208775], [-0.42164150947807966, -3.318426628110687], [-3.1353078627417026, 10.244779548814552], [1.0344187242123648, 3.227629154798636], [-0.04224771885406631, -0.19976399460976202], [-1.7353661472024013, 7.5294043542325655]]",3.6156798189966963
17,"[[0.3610870105406398, 0.07262631576437123], [2.5041154233987815, -0.18512785374051172], [0.3353158055363503, -0.20421693771214994], [5.832705172364748, 0.4615571406540411], [-1.5583217305302246, 0.130313539306238], [0.14478624710975133, 7.571897844561628], [0.8574197162359001, -1.2304225665435689], [-0.48929712302073436, 1.8761708463339486], [2.8492730811602005, 2.6057930338253326], [1.3446470979444498, -0.01905717714766155], [-0.545147501012031, -1.0767446666283154], [1.3955941528058715, 10.921368881172901], [0.3733066840379131, 2.5419234010788134], [-0.6950927161618928, 1.9523277722589492], [1.6336764938267692, 4.241929127449505]]",3.6156798189966963
18,"[[-0.11236052823973608, 0.19176420437878408], [-0.030588984771229732, -0.18116505816746248], [-0.030629556354086207, -0.0776678033897695], [6.728569080020746, 0.8905743006808456], [0.30593521882272134, 2.2259032501569704], [0.2193649822351256, 5.975980679446933], [4.385594335071597, -0.03470977376587747], [-1.4009712876869835, -1.1647086150447128], [1.774624011465468, 2.0079136721642152], [-0.6935625121427307, -0.15080116434282329], [-0.06611592909966746, 1.8701368349643013], [2.816297041316197, -9.300030836693699], [-0.8121902439525965, 1.8729703747749915], [-0.8114944281820484, -0.1898776525280943], [1.504482943357277, -1.9239782893348893]]",3.6156798189966963
19,"[[-0.30634018634094684, 0.16667286216766175], [-1.804950142679534, -0.16522285090967442], [-0.28679130967739175, 0.010916590635896797], [-4.478977313592923, -0.6815047733324192], [1.1914803059289072, 1.8274679007362682], [0.23920018477580396, 2.5622476144015804], [2.4091725953810545, 0.7351880363353733], [-0.08701251056209336, -2.87642504512759], [-1.4279479719199026, 1.0487704677246747], [-0.9829614836728682, -0.13202228737446065], [0.294749457819199, 1.522313311451612], [3.020220127326896, -18.90554433502774], [-1.5185339190086986, 0.5258875575540345], [0.6170939173614156, -1.6512491892883137], [-1.1810218331226552, -4.475121052259849]]",1.3588690514241595
